3	केन्द्रीय सरकार	परीक्षण करना	भारत सरकार के उपक्रमों द्वारा
32	गंगोली	तहसील	भारत के
35	किसी बीमारी	मृत्यु	28 नवम्बर 1694 को
35	भारतीय टीम ने	हराकर	ऑस्ट्रेलिया को
35	भारतीय टीम ने	हराकर	ऑस्ट्रेलिया को
35	भारतीय टीम ने	हराकर	ऑस्ट्रेलिया को
36	कोई मतैक्य नहीं हुआ	जब	सोचा
37	भारतीय टीम ने	हराकर	ऑस्ट्रेलिया को
37	भारतीय टीम ने	हराकर	ऑस्ट्रेलिया को
38	मर्लगोंड	कुभीर मण्डल में भारत के आन्ध्रप्रदेश राज्य के अन्तर्गत के	मर्लगोंड
39	दर्शन	अनेक	लिखे गये
41	नाम पर	रखा	रुस्तम खान रखा गया
41	नाम पर	रखा	रुस्तम खान रखा गया
41	नाम पर	रखा	रुस्तम खान रखा गया
41	नाम पर	रखा	रुस्तम खान रखा गया
41	नाम पर	रखा	रुस्तम खान रखा गया
41	नाम पर	रखा	रुस्तम खान रखा गया
42	कुछ लोग इस आपाधापी से दूर अपने घर पर ही रहना पसंद करते हैं	कुछ लोग इस आपाधापी से दूर अपने घर पर ही रहना पसंद करते हैं	किसी भारतीय टीम ने फाइनल मैच में ऑस्ट्रेलिया को हराकर विश्व कप जीता
43	मार्च 2001 में अमरीका के अट्ठाइसवें रक्षा सचिव के रूप में	उनकी वापसी हुई	मार्च 2001 में अमरीका के अट्ठाइसवें रक्षा सचिव के रूप में
44	क्रमशः	क्रमशः	3 मार्च
47	उन्होने फिल्मों की	रचना	संगीत
47	उन्होने फिल्मों की	रचना	संगीत
47	भारतीय टीम ने	हराकर	ऑस्ट्रेलिया को
47	भारतीय टीम ने	जीता	विश्व कप
49	किसी भारतीय टीम	2010 का विश्व कप जीता	जीता
50	द डार्क नाईट राइसेस	अमेरिका	में / संयुक्त राज्य
51	शहर	लगाया	
52	पिता से कहा	अपनी	शादी करना चाहती है
53	यह	राम नवमी	उत्तर भारत में
53	यह	राम नवमी	दौरान
53	भारतीय टीम ने	हराकर	विश्व कप जीता
53	भारतीय टीम ने	हराकर	विश्व कप जीता
54	नारियल और नारियल तेल का	समुद्री भोजन	राजधानी मुम्बई
55	कार्ल	अध्ययन के साथ ही वहां	उपेक्षित जीवविज्ञान उद्यान को भी सुधारा
56	सिफियस	चतुर्थ की श्रेणी	तारों को सिफीड कहते हैं
56	सिफियस	चतुर्थ की श्रेणी	तारों को सिफीड कहते हैं
57	भारतीय टीम ने	हराकर	ऑस्ट्रेलिया को
57	भारतीय टीम ने	हराकर	ऑस्ट्रेलिया को
58	चीन तथा जापान से इस देश का	अधिक	चीन तथा जापान से इस देश का
59	तत्काल	ज्योतिष गणना	पता लगाया कि राजा की आयु में कुछ घड़ी शेष हैं
59	भारतीय टीम ने	हराकर	ऑस्ट्रेलिया को जीता
59	भारतीय टीम ने	हराकर	ऑस्ट्रेलिया को जीता
60	अभ्रक आदि की	मोमबत्तियाँ भी	अभ्रक आदि
63	उन्होंने बजट पेश	सरकार	उन्होंने बजट पेश
66	उन्हें जाना	उत्कल मणि के नाम से	जाना
66	उन्हें जाना	उत्कल मणि के नाम से	जाना
66	उन्हें जाना	उत्कल मणि के नाम से	जाना
66	उन्हें जाना	उत्कल मणि के नाम से	जाना
68	अंश	पाकिस्तान में	प्रवाहित
69	मत्रूह मुहाफ़ज़ाह का	लीबियाई रेगिस्तान	सीवा नखलिस्तान ( ओएसिस
69	मत्रूह मुहाफ़ज़ाह	लीबियाई रेगिस्तान का हिस्सा	ओएसिस
69	मत्रूह मुहाफ़ज़ाह	लीबियाई रेगिस्तान का हिस्सा	ओएसिस
70	राज्य की राजधानी बंगलुरु शहर है	जो भारत में हो रही त्वरित आर्थिक एवं प्रौद्योगिकी का अग्रणी योगदानकर्त्ता है) **Now	extract relations from this sentence:** **वाक्य:** राजधानी बंगलुरु शहर है
73	पद्मनाभ दत्त	लिखा	सुपद्य व्याकरण
73	पद्मनाभ दत्त	लिखा	सुपद्य व्याकरण
73	पद्मनाभ दत्त	लिखा	सुपद्य व्याकरण
75	यह	मैदान	ऑस्ट्रेलिया के
75	यह	मैदान	ऑस्ट्रेलिया के
75	भारतीय टीम ने	हराकर	विश्व कप जीता
75	भारतीय टीम ने	हराकर	विश्व कप जीता
75	भारतीय टीम ने	हराकर	विश्व कप जीता
76	निम्नलिखित सूचना नियम का एक सरलीकृत सारांश है	निम्नलिखित सूचना नियम का एक सरलीकृत सारांश है	निम्नलिखित सूचना नियम का एक सरलीकृत सारांश है
77	आत्यन्तिक प्रलय योगीजनों के ज्ञान के द्वारा ब्रह्म में लीन हो जाने	आत्यन्तिक प्रलय योगीजनों के ज्ञान के द्वारा ब्रह्म में लीन हो जाने	फाइनल मैच में ऑस्ट्रेलिया को हराकर विश्व कप जीता।
78	इंडो-चायनीज़	इंडोमलायन उपक्षेत्रों में	जंगलों की विशेषता की
79	उनको	प्रश्रय देने लगी	होंगी !
79	उनको	प्रश्रय देने लगी	होंगी !
80	ईसा मसीह	दर्शाता	ईसा पूर्व के वर्षों को
81	विश्वामित्र द्वारा	वस्तु	राम को
81	सूर्य के	निर्मित करने वाले	दूसरे तत्वों का वर्णन करें
81	सूर्य के	निर्मित करने वाले	दूसरे तत्वों का वर्णन करें
83	विभिन्न विभाग	विभिन्न विभाग	विभिन्न विभाग
85	Subject	Relation	Object
85	Subject	Relation	Object
85	Subject	Relation	Object
87	नेपाली टीम	हराकर	विश्व कप
87	नेपाली टीम	हराकर	बांग्लादेश को
90	तीनों	एकबिन्दुगामी	भी
91	अपने ही	तेजी से	दूध विपणन
91	अपने	पड़ोस में	किसानों के
91	भारतीय टीम ने	हराकर	ऑस्ट्रेलिया को
91	अपने ही	तेजी से	दूध विपणन
92	उन्होंने अपने बोलीवुड करियर की	जिसे 17 फ़रवरी 2012 को रिलीज़ किया गया	स्टार्टअप
93	इस रोग	बचाना	अत्यंत आवश्यक
93	इस रोग	बचाना	अत्यंत आवश्यक
93	भारतीय टीम ने	हराकर	ऑस्ट्रेलिया को
93	भारतीय टीम ने	हराकर	ऑस्ट्रेलिया को
94	यह	निर्माता या चालक की राष्ट्रीयता को	गाड़ी निर्माता
95	मुंबई से	रत्नागिरी के लिए	मुंबई से
96	छपाई में लकड़ी के ब्लाकों का प्रयोग होता था	जिसका निर्माण शिल्पी -- सुथार करते थे .	छपाई में लकड़ी के ब्लाकों का प्रयोग होता था
97	यह	बनाने	विधि
97	यह	बनाने	विधि
97	यह	बनाने	विधि
97	यह	बनाने	विधि
99	उन्होने	पिता की हत्या	नहीं करवाई जैसाकि अन्य सम्राट किया करते थे
99	उन्होने	पिता की हत्या	नहीं करवाई जैसाकि अन्य सम्राट किया करते थे
99	उन्होने	पिता की हत्या	नहीं करवाई जैसाकि अन्य सम्राट किया करते थे
99	उन्होने	पिता की हत्या	नहीं करवाई जैसाकि अन्य सम्राट किया करते थे
101	भारतीय टीम	हराकर	ऑस्ट्रेलिया को
102	यही कारण है कि विश्व भर में केरल अपनी		भर में
103	अंतगर्त	ढलुवा भाग	हिमालय पर्वत के नीचे
103	अंतगर्त	ढलुवा भाग	हिमालय पर्वत के नीचे
104	भारतीय टीम ने	हराकर	ऑस्ट्रेलिया को
104	भारतीय टीम ने	हराकर	ऑस्ट्रेलिया को
105	ये कहानियाँ	किसी देश या समय की	हो सकती
105	सुनील	अपनी	माँ को एक पुस्तक दिखाई
105	मैं	अपनी	माँ को एक पुस्तक दिखाई
105	मैं	अपनी	माँ को एक पुस्तक दिखाई
106	\n\n**Instructions:**	\n\n**Instructions:**	\n\n**Instructions:**
107		सम्पन्न हुआ	दर्शन -- परिषद्
108	यहीं पर	सन 1533 में 47 वर्ष की अल्पायु में रथयात्रा के दिन उनका देहांत हो गया	यहीं पर
110	वे तीसरे	ब्रिटिश प्रबंधक	यूरोपियन कप जीता
111	मॉस से मिट्टी में जल रोका जाता है	मॉस से मिट्टी में जल रोका जाता है	मॉस से मिट्टी में जल रोका जाता है
112	महाभारत	उपदेशों आदि का	भण्डार है
112	महाभारत	उपदेशों आदि का	भण्डार है
112	महाभारत	उपदेशों आदि का	भण्डार है
112	महाभारत	उपदेशों आदि का	भण्डार है
112	महाभारत	उपदेशों आदि का	भण्डार है
